severity,condition,seed,probe,a1_snr_db_min,a1_phase_consistency_min,snr_gate_passed,phase_gate_passed,frequency_qa_passed
0.0,Baseline,11,2Hz,31.54005527681766,0.9999999999998275,True,True,True
0.0,Baseline,23,2Hz,31.54005517010051,0.9999999999998419,True,True,True
0.0,Baseline,37,2Hz,31.540055245615694,0.9999999999998319,True,True,True
0.0,Baseline,53,2Hz,31.5400553416198,0.999999999999818,True,True,True
0.0,Baseline,71,2Hz,31.540055238442744,0.9999999999998298,True,True,True
0.0,Baseline,89,2Hz,31.540055278467992,0.9999999999998266,True,True,True
0.0,Baseline,107,2Hz,31.540055454413128,0.999999999999811,True,True,True
0.0,Baseline,127,2Hz,31.54005527086551,0.9999999999998272,True,True,True
0.0,Baseline,149,2Hz,31.5400552399583,0.9999999999998334,True,True,True
0.0,Baseline,173,2Hz,31.540055268969148,0.9999999999998275,True,True,True
0.0,Baseline,197,2Hz,31.540055475478308,0.9999999999998073,True,True,True
0.0,Baseline,223,2Hz,31.540055429361395,0.9999999999998136,True,True,True
0.0,Baseline,251,2Hz,31.540055250380593,0.999999999999829,True,True,True
0.0,Baseline,281,2Hz,31.5400551875171,0.9999999999998348,True,True,True
0.0,Baseline,313,2Hz,31.54005521267331,0.9999999999998366,True,True,True
0.0,Baseline,347,2Hz,31.54005516448273,0.9999999999998432,True,True,True
0.0,Baseline,383,2Hz,31.540055154375445,0.9999999999998466,True,True,True
0.0,Baseline,421,2Hz,31.540055281921564,0.9999999999998268,True,True,True
0.0,Baseline,461,2Hz,31.540055215085157,0.9999999999998362,True,True,True
0.0,Baseline,503,2Hz,31.54005526852773,0.9999999999998282,True,True,True
1.0,High AD-like perturbation,11,2Hz,31.5234110903025,0.9999833882053296,True,True,True
1.0,High AD-like perturbation,23,2Hz,31.54629522792566,0.9999768091685761,True,True,True
1.0,High AD-like perturbation,37,2Hz,31.537846830247595,0.9999796156187314,True,True,True
1.0,High AD-like perturbation,53,2Hz,31.534821556078327,0.9999867450643136,True,True,True
1.0,High AD-like perturbation,71,2Hz,31.514972648849955,0.9999611454888269,True,True,True
1.0,High AD-like perturbation,89,2Hz,31.53476521419214,0.9999806642391647,True,True,True
1.0,High AD-like perturbation,107,2Hz,31.52727557053077,0.9999810470710147,True,True,True
1.0,High AD-like perturbation,127,2Hz,31.520674777815746,0.9999649315775772,True,True,True
1.0,High AD-like perturbation,149,2Hz,31.531597435768887,0.9999714492572426,True,True,True
1.0,High AD-like perturbation,173,2Hz,31.542331366822538,0.9999790220060466,True,True,True
1.0,High AD-like perturbation,197,2Hz,31.52825591414341,0.9999865625231126,True,True,True
1.0,High AD-like perturbation,223,2Hz,31.482752597687224,0.9999560017569669,True,True,True
1.0,High AD-like perturbation,251,2Hz,31.53710588378467,0.9999828337618522,True,True,True
1.0,High AD-like perturbation,281,2Hz,31.53440449812799,0.9999811983400446,True,True,True
1.0,High AD-like perturbation,313,2Hz,31.492569968707297,0.9999740652044624,True,True,True
1.0,High AD-like perturbation,347,2Hz,31.530242802861494,0.9999819199644534,True,True,True
1.0,High AD-like perturbation,383,2Hz,31.527461102825463,0.9999830572516948,True,True,True
1.0,High AD-like perturbation,421,2Hz,31.563460618547843,0.999976244372944,True,True,True
1.0,High AD-like perturbation,461,2Hz,31.52723566406155,0.9999802030390368,True,True,True
1.0,High AD-like perturbation,503,2Hz,31.540946693089108,0.9999784000205785,True,True,True
0.0,Baseline,11,5Hz,31.882958516682535,0.9999999999982208,True,True,True
0.0,Baseline,23,5Hz,31.882958485035164,0.9999999999981404,True,True,True
0.0,Baseline,37,5Hz,31.882958554252955,0.9999999999981981,True,True,True
0.0,Baseline,53,5Hz,31.88295849839207,0.9999999999982524,True,True,True
0.0,Baseline,71,5Hz,31.882958502886957,0.9999999999982034,True,True,True
0.0,Baseline,89,5Hz,31.88295854597161,0.9999999999982189,True,True,True
0.0,Baseline,107,5Hz,31.88295849309407,0.9999999999982914,True,True,True
0.0,Baseline,127,5Hz,31.88295852687429,0.9999999999982244,True,True,True
0.0,Baseline,149,5Hz,31.88295855978653,0.9999999999981933,True,True,True
0.0,Baseline,173,5Hz,31.88295851173274,0.9999999999982216,True,True,True
0.0,Baseline,197,5Hz,31.882958597232573,0.9999999999983062,True,True,True
0.0,Baseline,223,5Hz,31.882958530271893,0.9999999999982746,True,True,True
0.0,Baseline,251,5Hz,31.88295853883675,0.9999999999982093,True,True,True
0.0,Baseline,281,5Hz,31.88295852987658,0.9999999999981785,True,True,True
0.0,Baseline,313,5Hz,31.882958511159924,0.999999999998174,True,True,True
0.0,Baseline,347,5Hz,31.882958455516835,0.99999999999815,True,True,True
0.0,Baseline,383,5Hz,31.88295845568839,0.9999999999981342,True,True,True
0.0,Baseline,421,5Hz,31.882958531964643,0.9999999999982238,True,True,True
0.0,Baseline,461,5Hz,31.88295851822221,0.9999999999981714,True,True,True
0.0,Baseline,503,5Hz,31.882958579384464,0.9999999999982119,True,True,True
1.0,High AD-like perturbation,11,5Hz,31.832054997710454,0.9999315868987135,True,True,True
1.0,High AD-like perturbation,23,5Hz,31.79900478422217,0.9999369584909157,True,True,True
1.0,High AD-like perturbation,37,5Hz,31.85091940395969,0.9999070738523959,True,True,True
1.0,High AD-like perturbation,53,5Hz,31.86831895932279,0.9999324977314891,True,True,True
1.0,High AD-like perturbation,71,5Hz,31.871364928765363,0.9999274615112513,True,True,True
1.0,High AD-like perturbation,89,5Hz,31.816783142476623,0.9999338793616684,True,True,True
1.0,High AD-like perturbation,107,5Hz,31.828618213716055,0.9999257269996185,True,True,True
1.0,High AD-like perturbation,127,5Hz,31.849951420838973,0.9999030641422163,True,True,True
1.0,High AD-like perturbation,149,5Hz,31.89535919793899,0.999907248538996,True,True,True
1.0,High AD-like perturbation,173,5Hz,31.872688604714497,0.9999215999196617,True,True,True
1.0,High AD-like perturbation,197,5Hz,31.90197098501613,0.9999247489085862,True,True,True
1.0,High AD-like perturbation,223,5Hz,31.80369707935625,0.9993879478877207,True,True,True
1.0,High AD-like perturbation,251,5Hz,31.942193153646198,0.9999166539303809,True,True,True
1.0,High AD-like perturbation,281,5Hz,31.80837849596717,0.9999263915875437,True,True,True
1.0,High AD-like perturbation,313,5Hz,31.789882221317765,0.9999102923625011,True,True,True
1.0,High AD-like perturbation,347,5Hz,31.87853923507877,0.9999220088312297,True,True,True
