seed,outcome,probe,full_field_interaction,local_fixed_interaction,absolute_contrast_attenuation_percent
11,transfer_gain,2Hz,2.94884082509636,0.7808244460566724,73.5209700228171
23,transfer_gain,2Hz,2.435041254263779,0.6176079392491092,74.63665397176857
37,transfer_gain,2Hz,1.8030696746947648,0.5947269628392107,67.01586349180378
53,transfer_gain,2Hz,1.937278766558732,0.9169423841977942,52.668536917554896
71,transfer_gain,2Hz,1.52680646345069,0.6657217711310617,56.39776310440266
89,transfer_gain,2Hz,2.571956478688775,0.6632368409978273,74.21275023534007
107,transfer_gain,2Hz,2.338568715357294,0.6104699690298876,73.89557274836724
127,transfer_gain,2Hz,1.8973230532045626,0.6726066455664448,64.54970362425007
149,transfer_gain,2Hz,2.041992763361308,0.5784748132961894,71.67106447801672
173,transfer_gain,2Hz,2.259044940116512,0.6448083857146907,71.45659325921005
197,transfer_gain,2Hz,2.475793614177256,0.41011614533586993,83.4349623091601
223,transfer_gain,2Hz,1.4550711181285703,0.7718210353381059,46.95647341754826
251,transfer_gain,2Hz,2.5944285964958445,0.6288939546526988,75.75982798285094
281,transfer_gain,2Hz,2.6848906413438476,0.7168443964492397,73.3007972313374
313,transfer_gain,2Hz,1.983575874762912,0.6020745376114132,69.64701248529873
347,transfer_gain,2Hz,2.6981819049251046,0.6041907460534937,77.60748654675065
383,transfer_gain,2Hz,2.0896024931585373,0.6022063972759488,71.18081552603414
421,transfer_gain,2Hz,1.7551890752135417,0.839219421382178,52.18638075900308
461,transfer_gain,2Hz,2.1958686015702558,0.5866369907777393,73.28451300053938
503,transfer_gain,2Hz,2.9709286357418643,0.7394071728226326,75.11191740093761
11,transfer_gain,5Hz,2.878866566149835,0.5950286240387603,79.33114959077297
23,transfer_gain,5Hz,2.9400606822454574,0.6387911537937656,78.27285818788299
37,transfer_gain,5Hz,1.3527085740946267,0.5625915438212301,58.40999646226277
53,transfer_gain,5Hz,2.0235241041256167,0.8975443108128727,55.644496204273786
71,transfer_gain,5Hz,2.52847106329901,0.7261341779071566,71.2816892213219
89,transfer_gain,5Hz,2.526235829272056,0.7146228551224318,71.71194997545605
107,transfer_gain,5Hz,2.36447078164832,0.6762357573784206,71.4001220642277
127,transfer_gain,5Hz,1.7685253195122526,0.6598884857880991,62.687077278028916
149,transfer_gain,5Hz,2.196601444448415,0.6252141699482108,71.5372048248285
173,transfer_gain,5Hz,2.657075255531466,0.6999404082780689,73.65748648552797
197,transfer_gain,5Hz,2.2218282257058526,0.4155374236871534,81.29750001014857
223,transfer_gain,5Hz,0.946098886619966,0.719476174866748,23.953385312908527
251,transfer_gain,5Hz,2.2005019839335374,0.6251370314669487,71.59116256057736
281,transfer_gain,5Hz,2.4784090868455833,0.6849746552598157,72.36232473099817
313,transfer_gain,5Hz,2.275469842528322,0.5854564749221085,74.27096312242945
347,transfer_gain,5Hz,2.277286017398999,0.5918223644939591,74.01194404337895
383,transfer_gain,5Hz,1.774359932326683,0.5266921387850516,70.31649953375522
421,transfer_gain,5Hz,1.180418543952146,0.9408517427713843,20.295072659454394
461,transfer_gain,5Hz,2.24609719855916,0.5760963590005348,74.35122757064599
503,transfer_gain,5Hz,2.611831555706262,0.7912487996367643,69.70521326660348
11,functional_connectivity,2Hz,0.06633255384170189,0.06896517486270248,-3.9688220466879143
23,functional_connectivity,2Hz,0.06236696987898771,0.07785444108483253,-24.83281011711098
