pair,outcome,probe,unit,numerical_initializations,mean_interaction,median_interaction,minimum_interaction,maximum_interaction,ci95_lower_numerical,ci95_upper_numerical,paired_hedges_gz,positive_fraction,sign_consistent,mean_interaction_curvature
anatomical_core_only,transfer_gain,2Hz,log2 ratio,20,2.077926948244877,2.1490224961637208,1.4572912336521835,2.788966572226145,1.8790703784617055,2.2767835180280485,4.694839895881063,1.0,True,0.11314739240672704
anatomical_core_only,transfer_gain,5Hz,log2 ratio,20,2.05404146795095,2.146929538863047,1.0970858833613937,2.7899846421441614,1.8175464838198772,2.2905364520820233,3.9022737071584688,1.0,True,0.20688558940766172
anatomical_core_only,functional_connectivity,2Hz,Fisher-z difference,20,0.08109664839856423,0.0818969023497298,0.05746999130303232,0.09016274136127223,0.07788240442763195,0.08431089236949652,11.335861279320978,1.0,True,0.04040352706985112
anatomical_core_only,functional_connectivity,5Hz,Fisher-z difference,20,0.08647672717227263,0.09093943859579945,0.037137122487168606,0.10376839615595768,0.07953505244736085,0.09341840189718441,5.597130593250993,1.0,True,0.04806409127250217
anatomical_core_only,response_latency,pulse,ms,20,376.825,420.25,137.0,545.0,311.09257041521016,442.5574295847898,2.5756715310944713,1.0,True,
platel_peak_only,transfer_gain,2Hz,log2 ratio,20,2.8562416766604812,2.9850010696469567,1.4382400757307252,3.5834353321656396,2.598467247481147,3.1140161058398155,4.978351680823662,1.0,True,-0.9437824198195288
platel_peak_only,transfer_gain,5Hz,log2 ratio,20,2.8117873062683207,2.897460627491234,0.8820386434136278,3.5524899733693944,2.5319784595419845,3.091596152994657,4.514934760704296,1.0,True,-0.8777372935128701
platel_peak_only,functional_connectivity,2Hz,Fisher-z difference,20,0.031848341879974054,0.027726194787279557,0.0202311583479573,0.05673687403834249,0.0266655589440147,0.03703112481593341,2.7609227869291657,1.0,True,0.05081249089997149
platel_peak_only,functional_connectivity,5Hz,Fisher-z difference,20,0.04752783681938226,0.04787021313864814,-0.0011139483837445674,0.11228674236339597,0.03286025004618032,0.062195423592584204,1.4558607475199619,0.95,False,0.058303009554285246
platel_peak_only,response_latency,pulse,ms,20,237.775,214.25,-9.0,596.5,178.77364648302097,296.77635351697904,1.8106506732305916,0.95,False,
expanded_left_only,transfer_gain,2Hz,log2 ratio,20,1.260292062835981,1.3751722462015583,0.37870518290562316,1.8433704186829365,1.0376187169581705,1.4829654087137916,2.5429242364125044,1.0,True,2.3145373451994997
expanded_left_only,transfer_gain,5Hz,log2 ratio,20,1.161534073306915,1.2899028317876735,-0.3562106022610987,1.9005013152388486,0.9004274945032953,1.4226406521105348,1.9986861114423644,0.95,False,2.1134178906793184
expanded_left_only,functional_connectivity,2Hz,Fisher-z difference,20,0.11306241760096618,0.11547138266352475,0.06491384801973288,0.1347981814011554,0.10473683675697884,0.12138799844495352,6.101465783990978,1.0,True,0.017097422327910394
expanded_left_only,functional_connectivity,5Hz,Fisher-z difference,20,0.10621676302158937,0.10994013213843001,0.037814546105346736,0.142442151176553,0.095341701848873,0.11709182419430575,4.388254514395296,1.0,True,0.02797804880551543
expanded_left_only,response_latency,pulse,ms,20,36.8,28.5,-109.0,168.0,5.156804561294614,68.44319543870537,0.5225140103827332,0.7,False,
expanded_right_only,transfer_gain,2Hz,log2 ratio,20,3.2060532861950706,3.311117106256973,2.0413784285764134,4.1463292950289174,2.9439755517322244,3.468131020657917,5.496308046213772,1.0,True,-1.3475720970982774
expanded_right_only,transfer_gain,5Hz,log2 ratio,20,3.183350016083441,3.2405004791889493,1.2911362025530888,4.305046993290413,2.8490617071051303,3.517638325061752,4.278520914617848,1.0,True,-1.1473746562253528
expanded_right_only,functional_connectivity,2Hz,Fisher-z difference,20,0.014870578727041294,0.013579767414810595,-0.002133073717750733,0.03840087184894614,0.01011532648709576,0.019625830966986828,1.4050273120929164,0.95,False,0.04255722474146676
expanded_right_only,functional_connectivity,5Hz,Fisher-z difference,20,0.03140075124538365,0.03021500966651558,-0.003749176765108997,0.07617405007241862,0.023146957071256354,0.03965454541951094,1.7092943559534874,0.95,False,0.046199021898059786
expanded_right_only,response_latency,pulse,ms,20,690.15,650.0,452.0,1046.0,611.5650440924392,768.7349559075608,3.9457951373265185,1.0,True,
