severity,seed,probe,network,metric,difference,old_pointwise_tolerance,within_old_pointwise_tolerance
0.0,11,2Hz,episodic_expanded,a1_snr_db,0.00013118265621869796,1.0,True
0.0,11,2Hz,semantic_expanded,a1_snr_db,0.00013118265621869796,1.0,True
0.0,23,2Hz,episodic_expanded,a1_snr_db,0.00013120143893985414,1.0,True
0.0,23,2Hz,semantic_expanded,a1_snr_db,0.00013120143893985414,1.0,True
0.0,37,2Hz,episodic_expanded,a1_snr_db,0.00013117528818895607,1.0,True
0.0,37,2Hz,semantic_expanded,a1_snr_db,0.00013117528818895607,1.0,True
0.0,53,2Hz,episodic_expanded,a1_snr_db,0.00013116681042291134,1.0,True
0.0,53,2Hz,semantic_expanded,a1_snr_db,0.00013116681042291134,1.0,True
0.0,71,2Hz,episodic_expanded,a1_snr_db,0.00013117811304752536,1.0,True
0.0,71,2Hz,semantic_expanded,a1_snr_db,0.00013117811304752536,1.0,True
0.0,89,2Hz,episodic_expanded,a1_snr_db,0.00013117541466201033,1.0,True
0.0,89,2Hz,semantic_expanded,a1_snr_db,0.00013117541466201033,1.0,True
0.0,107,2Hz,episodic_expanded,a1_snr_db,0.00013105173306016127,1.0,True
0.0,107,2Hz,semantic_expanded,a1_snr_db,0.00013105173306016127,1.0,True
0.0,127,2Hz,episodic_expanded,a1_snr_db,0.0001311894944251435,1.0,True
0.0,127,2Hz,semantic_expanded,a1_snr_db,0.0001311894944251435,1.0,True
0.0,149,2Hz,episodic_expanded,a1_snr_db,0.00013117277091367896,1.0,True
0.0,149,2Hz,semantic_expanded,a1_snr_db,0.00013117277091367896,1.0,True
0.0,173,2Hz,episodic_expanded,a1_snr_db,0.0001311872941727188,1.0,True
0.0,173,2Hz,semantic_expanded,a1_snr_db,0.0001311872941727188,1.0,True
0.0,197,2Hz,episodic_expanded,a1_snr_db,0.00013102725941749327,1.0,True
0.0,197,2Hz,semantic_expanded,a1_snr_db,0.00013102725941749327,1.0,True
0.0,223,2Hz,episodic_expanded,a1_snr_db,0.00013106217060965264,1.0,True
0.0,223,2Hz,semantic_expanded,a1_snr_db,0.00013106217060965264,1.0,True
0.0,251,2Hz,episodic_expanded,a1_snr_db,0.00013118614449680877,1.0,True
0.0,251,2Hz,semantic_expanded,a1_snr_db,0.00013118614449680877,1.0,True
0.0,281,2Hz,episodic_expanded,a1_snr_db,0.00013121150195871678,1.0,True
0.0,281,2Hz,semantic_expanded,a1_snr_db,0.00013121150195871678,1.0,True
0.0,313,2Hz,episodic_expanded,a1_snr_db,0.00013118399288103433,1.0,True
0.0,313,2Hz,semantic_expanded,a1_snr_db,0.00013118399288103433,1.0,True
0.0,347,2Hz,episodic_expanded,a1_snr_db,0.0001311635484064766,1.0,True
0.0,347,2Hz,semantic_expanded,a1_snr_db,0.0001311635484064766,1.0,True
0.0,383,2Hz,episodic_expanded,a1_snr_db,0.0001311657560378876,1.0,True
0.0,383,2Hz,semantic_expanded,a1_snr_db,0.0001311657560378876,1.0,True
0.0,421,2Hz,episodic_expanded,a1_snr_db,0.00013117844152787939,1.0,True
0.0,421,2Hz,semantic_expanded,a1_snr_db,0.00013117844152787939,1.0,True
0.0,461,2Hz,episodic_expanded,a1_snr_db,0.00013118165488279487,1.0,True
0.0,461,2Hz,semantic_expanded,a1_snr_db,0.00013118165488279487,1.0,True
0.0,503,2Hz,episodic_expanded,a1_snr_db,0.00013117805926299297,1.0,True
0.0,503,2Hz,semantic_expanded,a1_snr_db,0.00013117805926299297,1.0,True
1.0,11,2Hz,episodic_expanded,a1_snr_db,0.0011802392276685225,1.0,True
1.0,11,2Hz,semantic_expanded,a1_snr_db,0.0011802392276685225,1.0,True
1.0,23,2Hz,episodic_expanded,a1_snr_db,0.008538900724850862,1.0,True
1.0,23,2Hz,semantic_expanded,a1_snr_db,0.008538900724850862,1.0,True
1.0,37,2Hz,episodic_expanded,a1_snr_db,0.04625766894405814,1.0,True
1.0,37,2Hz,semantic_expanded,a1_snr_db,0.04625766894405814,1.0,True
1.0,53,2Hz,episodic_expanded,a1_snr_db,0.008151638286811647,1.0,True
1.0,53,2Hz,semantic_expanded,a1_snr_db,0.008151638286811647,1.0,True
1.0,71,2Hz,episodic_expanded,a1_snr_db,0.005776483111347375,1.0,True
1.0,71,2Hz,semantic_expanded,a1_snr_db,0.005776483111347375,1.0,True
1.0,89,2Hz,episodic_expanded,a1_snr_db,0.0002240614210649028,1.0,True
1.0,89,2Hz,semantic_expanded,a1_snr_db,0.0002240614210649028,1.0,True
1.0,107,2Hz,episodic_expanded,a1_snr_db,0.002821559041816357,1.0,True
1.0,107,2Hz,semantic_expanded,a1_snr_db,0.002821559041816357,1.0,True
1.0,127,2Hz,episodic_expanded,a1_snr_db,0.008840063139384569,1.0,True
1.0,127,2Hz,semantic_expanded,a1_snr_db,0.008840063139384569,1.0,True
1.0,149,2Hz,episodic_expanded,a1_snr_db,0.013404480384259898,1.0,True
1.0,149,2Hz,semantic_expanded,a1_snr_db,0.013404480384259898,1.0,True
1.0,173,2Hz,episodic_expanded,a1_snr_db,0.035953045393355865,1.0,True
1.0,173,2Hz,semantic_expanded,a1_snr_db,0.035953045393355865,1.0,True
1.0,197,2Hz,episodic_expanded,a1_snr_db,0.009708042082682056,1.0,True
1.0,197,2Hz,semantic_expanded,a1_snr_db,0.009708042082682056,1.0,True
1.0,223,2Hz,episodic_expanded,a1_snr_db,0.020496715353136352,1.0,True
1.0,223,2Hz,semantic_expanded,a1_snr_db,0.020496715353136352,1.0,True
1.0,251,2Hz,episodic_expanded,a1_snr_db,0.0025361736796334355,1.0,True
1.0,251,2Hz,semantic_expanded,a1_snr_db,0.0025361736796334355,1.0,True
1.0,281,2Hz,episodic_expanded,a1_snr_db,0.00041432462525392566,1.0,True
1.0,281,2Hz,semantic_expanded,a1_snr_db,0.00041432462525392566,1.0,True
1.0,313,2Hz,episodic_expanded,a1_snr_db,0.06618668183147491,1.0,True
1.0,313,2Hz,semantic_expanded,a1_snr_db,0.06618668183147491,1.0,True
1.0,347,2Hz,episodic_expanded,a1_snr_db,0.01176727868448424,1.0,True
1.0,347,2Hz,semantic_expanded,a1_snr_db,0.01176727868448424,1.0,True
1.0,383,2Hz,episodic_expanded,a1_snr_db,0.01820086425531997,1.0,True
