severity,severity_label,probe,network,metric,series,n,mean,median,minimum,maximum,ci95_lower,ci95_upper
0.0,0.0,2Hz,Episodic proxy,Raw FC,2Hz · Episodic proxy,20,2.2308053300922728,2.230808254742462,2.2307763053615703,2.2308280784415824,2.2307992717995546,2.230811388384991
0.0,0.0,2Hz,Episodic proxy,Change from baseline,2Hz · Episodic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2Hz,Semantic proxy,Raw FC,2Hz · Semantic proxy,20,2.1468284856195705,2.1468337841653886,2.146717884511663,2.1469436215466073,2.1468027842794193,2.1468541869597217
0.0,0.0,2Hz,Semantic proxy,Change from baseline,2Hz · Semantic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5Hz,Episodic proxy,Raw FC,5Hz · Episodic proxy,20,1.3959869687459376,1.395986956035932,1.3959858599021668,1.395988633209916,1.39598664670908,1.3959872907827953
0.0,0.0,5Hz,Episodic proxy,Change from baseline,5Hz · Episodic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5Hz,Semantic proxy,Raw FC,5Hz · Semantic proxy,20,1.2990225346413822,1.2990227574802602,1.2990167354935496,1.2990273705133513,1.2990211764219555,1.2990238928608089
0.0,0.0,5Hz,Semantic proxy,Change from baseline,5Hz · Semantic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,2Hz,Episodic proxy,Raw FC,2Hz · Episodic proxy,20,0.10079931588559872,0.07770732254070675,-0.0271886212487967,0.3303317409293683,0.05841963016383896,0.14317900160735847
0.5,0.5,2Hz,Episodic proxy,Change from baseline,2Hz · Episodic proxy,20,-2.130006014206674,-2.1531087419691937,-2.257988202417036,-1.9004860652274052,-2.172385006086065,-2.0876270223272826
0.5,0.5,2Hz,Semantic proxy,Raw FC,2Hz · Semantic proxy,20,0.07863304402958757,0.0608698905545409,-0.0348733061347911,0.2609431040450945,0.041493280701342346,0.1157728073578328
0.5,0.5,2Hz,Semantic proxy,Change from baseline,2Hz · Semantic proxy,20,-2.0681954415899835,-2.0860275358719798,-2.1816844703242686,-1.8859365750354593,-2.105333943574002,-2.031056939605965
0.5,0.5,5Hz,Episodic proxy,Raw FC,5Hz · Episodic proxy,20,0.1009536173805409,0.090014295118965,-0.010599030994717,0.5218715358285883,0.04748880757977584,0.15441842718130597
0.5,0.5,5Hz,Episodic proxy,Change from baseline,5Hz · Episodic proxy,20,-1.2950333513653969,-1.3059731708766629,-1.4065855961999083,-0.8741156151548454,-1.3484980995966784,-1.2415686031341153
0.5,0.5,5Hz,Semantic proxy,Raw FC,5Hz · Semantic proxy,20,0.0754820971945164,0.065405804862916,-0.0161002776398726,0.4086229947162916,0.03146908995830851,0.1194951044307243
0.5,0.5,5Hz,Semantic proxy,Change from baseline,5Hz · Semantic proxy,20,-1.2235404374468661,-1.2336176915887536,-1.3151206672148115,-0.8904018978349086,-1.2675529841684108,-1.1795278907253215
1.0,1.0,2Hz,Episodic proxy,Raw FC,2Hz · Episodic proxy,20,0.03663351271510706,0.0340452124545728,0.0225289123780268,0.0773761886938142,0.031019262800172455,0.04224776263004166
1.0,1.0,2Hz,Episodic proxy,Change from baseline,2Hz · Episodic proxy,20,-2.1941718173771654,-2.196759244091495,-2.2082877902647806,-2.153413433453326,-2.1997879162982623,-2.1885557184560684
1.0,1.0,2Hz,Semantic proxy,Raw FC,2Hz · Semantic proxy,20,0.016623166406409227,0.0161737761516432,0.0131764858949138,0.0312228391957076,0.014741771219393763,0.018504561593424694
1.0,1.0,2Hz,Semantic proxy,Change from baseline,2Hz · Semantic proxy,20,-2.130205319213162,-2.130631141335023,-2.1336375700550545,-2.1155489985887326,-2.132090153663699,-2.1283204847626247
1.0,1.0,5Hz,Episodic proxy,Raw FC,5Hz · Episodic proxy,20,0.04482383698483482,0.0414048568247473,0.0215764687871694,0.1068215559500359,0.036659642116759844,0.05298803185290979
1.0,1.0,5Hz,Episodic proxy,Change from baseline,5Hz · Episodic proxy,20,-1.3511631317611028,-1.3545821355621466,-1.374410518537819,-1.2891652698958425,-1.3593272769764486,-1.342998986545757
1.0,1.0,5Hz,Semantic proxy,Raw FC,5Hz · Semantic proxy,20,0.01666816001376595,0.015776246554449598,-0.0002918093374615,0.0329564190804089,0.01176374753477633,0.02157257249275557
1.0,1.0,5Hz,Semantic proxy,Change from baseline,5Hz · Semantic proxy,20,-1.2823543746276163,-1.2832467546304915,-1.2993090099482458,-1.266063488137575,-1.287258671023182,-1.2774500782320506
