severity,probe,network,median_harmonic_fit_r_squared,median_target_snr_db,median_phase_consistency,median_frequency_qa_valid_fraction,median_broadband_split_log2,nonstationary_fraction,severity_label,series
0.0,2Hz,Episodic proxy,0.9998630422553134,31.582714622495665,0.9999996542290872,1.0,0.000304917073184,0.0,0.0,2Hz · Episodic proxy
0.0,2Hz,Semantic proxy,0.9995898299868542,31.595298335209314,0.9999985129474314,1.0,0.00090440074065905,0.0,0.0,2Hz · Semantic proxy
0.0,5Hz,Episodic proxy,0.9989213153468737,31.90548923633463,0.9999994312725093,1.0,8.82455907879071e-05,0.0,0.0,5Hz · Episodic proxy
0.0,5Hz,Semantic proxy,0.9985220632205056,31.911498502020347,0.999998777612217,1.0,0.000324712583688,0.0,0.0,5Hz · Semantic proxy
0.5,2Hz,Episodic proxy,8.526061906199978e-05,-1.1841896596502264,0.2565101211237851,0.2105263157894736,1.8430391090531444,0.85,0.5,2Hz · Episodic proxy
0.5,2Hz,Semantic proxy,7.336231750210143e-05,-1.6685085322806055,0.16489924649109655,0.0769230769230769,1.9691549244542812,0.85,0.5,2Hz · Semantic proxy
0.5,5Hz,Episodic proxy,0.0007315414588372001,3.7658908898214087,0.191460853986528,0.3947368421052631,1.5146112373984788,0.7,0.5,5Hz · Episodic proxy
0.5,5Hz,Semantic proxy,0.00022144835633989998,2.2176548496623587,0.12327777311158886,0.0769230769230769,1.7247286474689756,0.85,0.5,5Hz · Semantic proxy
1.0,2Hz,Episodic proxy,0.0003642614057089,6.856413850283857,0.20114064216305005,0.4473684210526315,1.5148224125080927,0.95,1.0,2Hz · Episodic proxy
1.0,2Hz,Semantic proxy,0.00022952511444145,-2.5689638161994126,0.14037209678000562,0.1538461538461538,0.9995811134855037,0.5,1.0,2Hz · Semantic proxy
1.0,5Hz,Episodic proxy,0.0010145419067442,6.8624347832975285,0.21412948048204006,0.49999999999999994,1.5209877204682083,0.85,1.0,5Hz · Episodic proxy
1.0,5Hz,Semantic proxy,0.0007803836331969,-0.34323874623468775,0.12343977694178976,0.11538461538461535,1.0656073014901175,0.75,1.0,5Hz · Semantic proxy
