seed,network,declared_parcels,fixed_valid_parcels,fixed_valid_fraction,fixed_region_labels,usable_seed
11,Semantic proxy,13,4,0.3076923076923077,"L_10v, L_STSda, R_10r, R_10v",True
23,Semantic proxy,13,10,0.7692307692307693,"L_10r, L_10v, L_8BM, L_9m, L_STSda, R_10r, R_10v, R_8BM, R_9m, R_TE1a",True
37,Semantic proxy,13,11,0.8461538461538461,"L_10r, L_10v, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
53,Semantic proxy,13,9,0.6923076923076923,"L_10r, L_9m, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
71,Semantic proxy,13,10,0.7692307692307693,"L_10r, L_10v, L_8BM, L_9m, L_STSda, R_10r, R_10v, R_25, R_8BM, R_9m",True
89,Semantic proxy,13,11,0.8461538461538461,"L_10r, L_10v, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
107,Semantic proxy,13,2,0.15384615384615385,"L_STSda, R_10v",True
127,Semantic proxy,13,12,0.9230769230769231,"L_10r, L_10v, L_8BM, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
149,Semantic proxy,13,6,0.46153846153846156,"L_10r, L_9m, R_10v, R_8BM, R_9m, R_TE1a",True
173,Semantic proxy,13,0,0.0,,False
197,Semantic proxy,13,11,0.8461538461538461,"L_10r, L_10v, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
223,Semantic proxy,13,3,0.23076923076923078,"L_10v, L_STSda, R_25",True
251,Semantic proxy,13,2,0.15384615384615385,"L_10v, R_10r",True
281,Semantic proxy,13,12,0.9230769230769231,"L_10r, L_10v, L_8BM, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
313,Semantic proxy,13,12,0.9230769230769231,"L_10r, L_10v, L_8BM, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
347,Semantic proxy,13,11,0.8461538461538461,"L_10r, L_10v, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
383,Semantic proxy,13,10,0.7692307692307693,"L_10r, L_10v, L_9m, L_STSda, L_TF, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
421,Semantic proxy,13,10,0.7692307692307693,"L_10r, L_8BM, L_9m, L_STSda, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
461,Semantic proxy,13,0,0.0,,False
503,Semantic proxy,13,12,0.9230769230769231,"L_10r, L_10v, L_8BM, L_9m, L_STSda, L_TF, R_10r, R_10v, R_25, R_8BM, R_9m, R_TE1a",True
11,Episodic proxy,19,0,0.0,,False
23,Episodic proxy,19,14,0.7368421052631579,"L_23d, L_31a, L_31pd, L_31pv, L_PCV, L_d23ab, L_v23ab, R_23d, R_31a, R_31pv, R_8Av, R_IP1, R_d23ab, R_v23ab",True
37,Episodic proxy,19,18,0.9473684210526315,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_PCV, L_d23ab, L_v23ab, R_11l, R_23d, R_31a, R_31pd, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_v23ab",True
53,Episodic proxy,19,17,0.8947368421052632,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_d23ab, L_v23ab, R_23d, R_31a, R_31pd, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_d23ab, R_v23ab",True
71,Episodic proxy,19,13,0.6842105263157895,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_d23ab, L_v23ab, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_d23ab",True
89,Episodic proxy,19,18,0.9473684210526315,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_d23ab, L_v23ab, R_11l, R_23d, R_31a, R_31pd, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_d23ab, R_v23ab",True
107,Episodic proxy,19,0,0.0,,False
127,Episodic proxy,19,15,0.7894736842105263,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_d23ab, L_v23ab, R_23d, R_31a, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_v23ab",True
149,Episodic proxy,19,12,0.631578947368421,"L_23d, L_31a, L_31pd, L_31pv, L_d23ab, L_v23ab, R_23d, R_31a, R_31pv, R_8Av, R_d23ab, R_v23ab",True
173,Episodic proxy,19,0,0.0,,False
197,Episodic proxy,19,19,1.0,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_PCV, L_d23ab, L_v23ab, R_11l, R_23d, R_31a, R_31pd, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_d23ab, R_v23ab",True
223,Episodic proxy,19,4,0.21052631578947367,"L_31a, L_7m, L_d23ab, R_11l",True
251,Episodic proxy,19,1,0.05263157894736842,R_31pd,True
281,Episodic proxy,19,16,0.8421052631578947,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_d23ab, L_v23ab, R_23d, R_31a, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_d23ab, R_v23ab",True
313,Episodic proxy,19,17,0.8947368421052632,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_PCV, L_d23ab, L_v23ab, R_23d, R_31a, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_d23ab, R_v23ab",True
347,Episodic proxy,19,15,0.7894736842105263,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_d23ab, L_v23ab, R_23d, R_31a, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_v23ab",True
383,Episodic proxy,19,18,0.9473684210526315,"L_23d, L_31a, L_31pd, L_31pv, L_7m, L_d23ab, L_v23ab, R_11l, R_23d, R_31a, R_31pd, R_31pv, R_7m, R_8Av, R_IP1, R_PCV, R_d23ab, R_v23ab",True
