severity,severity_label,seed,network,fixed_parcel_count,t20_ms,relative_t20_ms,t50_ms,relative_t50_ms,t80_ms,relative_t80_ms,absolute_peak_after_onset_ms,relative_absolute_peak_after_onset_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp
0.0,0.0,11,Semantic proxy,4,232.0,206.0,371.0,325.0,552.5,387.5,323.0,295.0,320.5,4.0829697617367267e-05,3.203993906224086e-08,0.00040820133790875346
0.5,0.5,11,Semantic proxy,4,2698.5,2670.5,2857.5,2753.5,3134.0,2932.0,2740.5,2712.5,435.5,0.2364026589720135,0.09936245365864818,0.03126480636531692
1.0,1.0,11,Semantic proxy,4,883.5,852.5,1535.5,1399.5,2341.5,2061.5,1209.5,1181.5,1458.0,0.0003236954561798124,0.04051208915076135,0.0010249596735318889
0.0,0.0,23,Semantic proxy,10,203.0,177.0,365.0,319.0,575.0,410.0,282.0,254.0,343.0,4.549938825413569e-05,3.659644220391781e-08,0.0004353311779341951
0.5,0.5,23,Semantic proxy,10,346.0,318.0,601.0,497.0,3116.0,2914.0,1768.0,1740.0,2633.0,0.00045914792208099774,0.1096705641715259,0.001180117164019201
1.0,1.0,23,Semantic proxy,10,403.0,372.0,1166.0,1031.0,1752.0,1472.0,506.0,478.0,1448.0,0.0008235920362687322,0.024008629539023166,0.001196185257313065
0.0,0.0,37,Semantic proxy,11,211.0,185.0,367.0,321.0,574.0,409.0,292.0,264.0,336.0,4.3826303415892546e-05,3.471182918950046e-08,0.0004272705953555149
0.5,0.5,37,Semantic proxy,11,1595.5,1567.5,2207.0,2103.0,2928.5,2726.5,2142.0,2114.0,1448.0,0.03109085616563391,0.086235498770793,0.004972263713542387
1.0,1.0,37,Semantic proxy,11,516.0,485.0,1029.0,894.0,2175.0,1895.0,784.0,756.0,1597.0,0.0006392836105595049,0.036472090444532264,0.001049099266933832
0.0,0.0,53,Semantic proxy,9,211.0,185.0,367.0,321.0,574.0,409.0,292.0,264.0,336.0,4.228185693373575e-05,3.461500934652425e-08,0.0004234395146891501
0.5,0.5,53,Semantic proxy,9,267.5,239.5,433.5,329.5,675.0,473.0,373.5,345.5,407.5,0.00018006680455228487,0.01543596812260982,0.000734060717718273
1.0,1.0,53,Semantic proxy,9,516.0,485.0,1088.0,952.0,1788.5,1508.5,872.5,844.5,1166.5,0.0007544981253577946,0.03746331355189329,0.001151447453834405
0.0,0.0,71,Semantic proxy,10,219.0,193.0,369.0,323.0,575.0,410.0,302.0,274.0,343.0,4.1676877375181e-05,3.7774056255271295e-08,0.0004116855719349388
0.5,0.5,71,Semantic proxy,10,2612.0,2584.0,2921.0,2817.0,3098.0,2896.0,2958.0,2930.0,483.0,0.05177222200674876,0.09356793097447091,0.013226880337257363
1.0,1.0,71,Semantic proxy,10,552.0,521.0,1231.0,1095.0,1863.0,1583.0,601.0,573.0,1267.0,0.0008906652882006814,0.03632822611250827,0.0013010618831421185
0.0,0.0,89,Semantic proxy,11,211.0,185.0,367.0,321.0,574.0,409.0,292.0,264.0,336.0,4.382662108615622e-05,3.425230535226536e-08,0.0004272693099709457
0.5,0.5,89,Semantic proxy,11,303.0,275.0,708.0,604.0,1583.5,1381.5,345.5,317.5,805.5,0.00018672970771457564,0.019192365459008338,0.0007461296993536888
1.0,1.0,89,Semantic proxy,11,384.0,353.0,870.5,735.5,1624.5,1344.5,711.0,683.0,1169.5,0.0005701341838637587,0.020535931332616338,0.0010217910534585132
0.0,0.0,107,Semantic proxy,2,189.0,163.0,317.0,271.0,487.0,322.0,278.0,250.0,298.0,5.798152422614367e-05,2.3611556732869513e-08,0.0005070710138506129
0.5,0.5,107,Semantic proxy,2,2046.0,2018.0,2783.0,2679.0,3091.0,2890.0,2961.0,2933.0,1045.0,0.012404953141214677,0.073347043676626,0.007186623242326107
1.0,1.0,107,Semantic proxy,2,406.0,375.0,1602.0,1467.0,2271.0,1991.0,1727.0,1699.0,1865.0,0.0002632022672337202,0.05170352336668514,0.0010380399645875116
0.0,0.0,127,Semantic proxy,12,220.5,194.5,377.0,331.0,575.5,410.5,303.0,275.0,338.5,4.346267634221639e-05,3.603800028841441e-08,0.0004239222085013298
0.5,0.5,127,Semantic proxy,12,757.5,729.5,1438.0,1334.0,2943.5,2742.5,1054.5,1026.5,2176.5,0.0006722302266171243,0.02978118470428663,0.0012396897229018933
1.0,1.0,127,Semantic proxy,12,417.5,386.5,944.0,808.0,1760.0,1480.0,693.0,665.0,1242.5,0.0007349565300940857,0.022227942524908513,0.0011677807054912095
