probe,term,term_label,estimate,standard_error,ci95_lower,ci95_upper,descriptive_p_value,parcel_count
2Hz,intercept,Intercept,6.6865152290165195,0.6103806062973041,5.431859923995727,7.941170534037312,3.072169935303117e-11,32
2Hz,semantic_indicator,Semantic vs episodic proxy,2.321164712833826,0.8552401142534288,0.5631934808776109,4.079135944790042,0.011641900606228502,32
2Hz,z_b_reduction,b reduction (1 SD),0.45533680206606536,0.3535974985233654,-0.27149326557919135,1.1821668697113221,0.2091856145693515,32
2Hz,z_bilateral_a1_affinity,Bilateral A1 affinity (1 SD),0.4806493625106173,0.46560755382905394,-0.4764206712394983,1.4377193962607329,0.31143633104181917,32
2Hz,z_weighted_structural_strength,Weighted structural strength (1 SD),-0.15185377435219746,0.35093813413722164,-0.8732174402136572,0.5695098915092622,0.6687950404904102,32
2Hz,right_hemisphere,Right vs left hemisphere,0.0465457380368893,0.6395973576265482,-1.268165459442673,1.3612569355164514,0.9425433195127716,32
5Hz,intercept,Intercept,5.862109803283779,0.6063265264946937,4.61578777864386,7.108431827923699,4.2599943708354677e-10,32
5Hz,semantic_indicator,Semantic vs episodic proxy,2.3317934236945943,0.8495597049517475,0.5854984402815258,4.078088407107662,0.010834183458596523,32
5Hz,z_b_reduction,b reduction (1 SD),0.44754558039801734,0.35124894343785384,-0.27445696313069584,1.1695481239267305,0.2138801861091014,32
5Hz,z_bilateral_a1_affinity,Bilateral A1 affinity (1 SD),0.4976252673322902,0.46251504046862485,-0.4530880141660669,1.4483385488306473,0.29184970310080505,32
5Hz,z_weighted_structural_strength,Weighted structural strength (1 SD),-0.12152968913001828,0.3486072422528905,-0.8381021381049416,0.5950427598449051,0.7301856484187841,32
5Hz,right_hemisphere,Right vs left hemisphere,0.003080427484719113,0.6353492234253548,-1.3028986050849845,1.3090594600544228,0.9961685611369377,32
