severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,target_locked_amplitude,ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,phase_eligible_fraction,phase_lag_degrees,median_phase_consistency_across_segments
0.0,11,2Hz,Semantic proxy,1,0.0,2.0,0.00028076220966613677,0.00027973273745695,1.7217150427207652e-05,0.061541280815872484,0.9980071281011961,1.0,13.347318789191576,0.9999999881539754
0.0,11,2Hz,Episodic proxy,1,0.0,2.0,0.0005544235091275108,0.0005529664524875166,3.403156234668756e-05,0.06154128081587248,0.9993625100726198,1.0,12.230848173925592,0.9999999987459657
0.0,11,2Hz,Semantic proxy,2,2.0,4.0,0.0002803069817378785,0.00027962449004778443,1.7210483480204043e-05,0.06154127355052193,0.99998721722264,1.0,13.32865775578551,0.9999999881539754
0.0,11,2Hz,Episodic proxy,2,2.0,4.0,0.000554110956994423,0.0005528488752671604,3.4024321835499357e-05,0.06154127355052193,0.9999881643526928,1.0,12.232978871202738,0.9999999987459657
0.0,11,2Hz,Semantic proxy,3,4.0,6.0,0.0002803098834285098,0.00027962747443780703,1.7210667609873694e-05,0.06154127364754711,0.9999885325533177,1.0,13.331527761516039,0.9999999881539754
0.0,11,2Hz,Episodic proxy,3,4.0,6.0,0.0005541141090852232,0.0005528520757321059,3.402451833463017e-05,0.06154127364754711,0.9999886490676425,1.0,12.233775230470982,0.9999999987459657
0.0,11,2Hz,Semantic proxy,4,6.0,8.0,0.0002803093491727754,0.0002796269562652371,1.7210635610211717e-05,0.06154127361056207,0.9999885710646667,1.0,13.331264210258437,0.9999999881539754
0.0,11,2Hz,Episodic proxy,4,6.0,8.0,0.0005541132797797679,0.0005528512449121096,3.402446713888828e-05,0.06154127361056207,0.9999886456083276,1.0,12.233784929684,0.9999999987459657
0.0,11,2Hz,Semantic proxy,5,8.0,10.0,0.00028030937936786196,0.0002796269842069571,1.7210637325949386e-05,0.061541273608948316,0.9999885688208019,1.0,13.331300939040112,0.9999999881539754
0.0,11,2Hz,Episodic proxy,5,8.0,10.0,0.0005541132951220966,0.0005528512578498327,3.402446792882873e-05,0.061541273608948316,0.9999886456461641,1.0,12.233802981519396,0.9999999987459657
0.0,11,5Hz,Semantic proxy,1,0.0,2.0,0.0003880166687509875,0.0003870321942586183,3.1774549047574025e-05,0.08208611553731417,0.9979555646732932,1.0,30.668089701594507,0.9999999686262055
0.0,11,5Hz,Episodic proxy,1,0.0,2.0,0.0007577848288159772,0.0007562995926663683,6.208439426624497e-05,0.08208611553731417,0.9987301115196945,1.0,27.75514469156112,0.9999999811670065
0.0,11,5Hz,Semantic proxy,2,2.0,4.0,0.00038778029701269764,0.00038695863687193715,3.176850659777099e-05,0.0820860890238948,0.9986531387949668,1.0,30.716097718096186,0.9999999686262055
