severity,probe,network,signal,frequency_hz,median_power,minimum_power,maximum_power,numerical_initializations,log10_median_power,severity_label,series
0.0,2Hz,Episodic proxy,Control,0.5,3.3508844459715013e-13,2.4288209726658785e-13,4.599592201381611e-13,20,-12.474840548393384,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,0.6000000000000001,3.137101691753562e-13,2.2721839983466114e-13,4.310279170225449e-13,20,-12.503471403058198,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,0.7000000000000001,2.9967290055072976e-13,2.1660323254514336e-13,4.123904105977431e-13,20,-12.52335252857056,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,0.8,2.9361403158289784e-13,2.1227071177623097e-13,4.0405047226094105e-13,20,-12.532223193669411,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,0.9,2.906144312171527e-13,2.1028584925179296e-13,3.996902498818442e-13,20,-12.536682823477907,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.0,2.8948783498389856e-13,2.0969337853073847e-13,3.9774949211677975e-13,20,-12.538369681713299,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.1,2.9025790569919426e-13,2.1075885810978043e-13,3.982639603411464e-13,20,-12.53721594263236,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.2000000000000002,2.9136335315813347e-13,2.1207274552498797e-13,3.9911758191170323e-13,20,-12.535565073437903,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.3,2.9363588443521934e-13,2.1446331712683854e-13,4.0144494037347654e-13,20,-12.532190871576475,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.4000000000000001,2.961530879055188e-13,2.1703306857886938e-13,4.0401061741209576e-13,20,-12.528483734732186,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.5,2.9910197844255056e-13,2.198596607777737e-13,4.070714366155227e-13,20,-12.52418071427112,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.6,3.0201086874467744e-13,2.2266673181489363e-13,4.1014556108997733e-13,20,-12.519977427404102,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.7000000000000002,3.040475432088507e-13,2.2466776160514245e-13,4.121274721695231e-13,20,-12.517058501460815,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.8,3.0620541736947564e-13,2.2686773950407266e-13,4.1438454142850307e-13,20,-12.513987130055598,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,1.9000000000000001,3.0862337472877107e-13,2.293035902575971e-13,4.168866115684159e-13,20,-12.51057118413392,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,2.0,3.1202687735439084e-13,2.3263857691754127e-13,4.2055454386426574e-13,20,-12.505807995135548,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,2.1,3.158549285657117e-13,2.364716424822356e-13,4.2473282475118157e-13,20,-12.500512342033211,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,2.2,3.192457405903975e-13,2.399086406017967e-13,4.2826491653724304e-13,20,-12.49587488842767,0.0,Control · Episodic proxy
