severity,severity_label,probe,network,signal,peak_frequency_hz,peak_power,drive_frequency_hz,drive_power,drive_to_peak_power_ratio
0.0,0.0,2Hz,Episodic proxy,Control,11.4,3.718125386354494e-10,2.0,3.1202687735439084e-13,0.0008392048275174589
0.0,0.0,2Hz,Episodic proxy,Evoked,2.0,3.0286026806786906e-07,2.0,3.0286026806786906e-07,1.0
0.0,0.0,2Hz,Episodic proxy,Stimulated,2.0,3.0299615250952205e-07,2.0,3.0299615250952205e-07,1.0
0.0,0.0,2Hz,Semantic proxy,Control,11.5,2.852246426184207e-10,2.0,2.9052278256269196e-13,0.0010185753232807419
0.0,0.0,2Hz,Semantic proxy,Evoked,2.0,8.636171810938724e-08,2.0,8.636171810938724e-08,1.0
0.0,0.0,2Hz,Semantic proxy,Stimulated,2.0,8.642651900897181e-08,2.0,8.642651900897181e-08,1.0
0.0,0.0,5Hz,Episodic proxy,Control,11.4,3.718125386354494e-10,5.0,5.768889456033797e-13,0.0015515586099397293
0.0,0.0,5Hz,Episodic proxy,Evoked,5.0,1.0068307699113024e-06,5.0,1.0068307699113024e-06,1.0
0.0,0.0,5Hz,Episodic proxy,Stimulated,5.0,1.0074240013917536e-06,5.0,1.0074240013917536e-06,1.0
0.0,0.0,5Hz,Semantic proxy,Control,11.5,2.852246426184207e-10,5.0,5.039637965094699e-13,0.0017669013163904032
0.0,0.0,5Hz,Semantic proxy,Evoked,5.0,2.9189282758586764e-07,5.0,2.9189282758586764e-07,1.0
0.0,0.0,5Hz,Semantic proxy,Stimulated,5.0,2.9217833691631946e-07,5.0,2.9217833691631946e-07,1.0
0.5,0.5,2Hz,Episodic proxy,Control,4.5,525.5824440179748,2.0,0.34516760995102924,0.0006567335227415332
0.5,0.5,2Hz,Episodic proxy,Evoked,4.6000000000000005,0.026116852065509413,2.0,0.00010045728992221517,0.0038464547591813966
0.5,0.5,2Hz,Episodic proxy,Stimulated,4.5,525.4873322040721,2.0,0.34341641179162835,0.0006535198676459496
0.5,0.5,2Hz,Semantic proxy,Control,4.6000000000000005,400.4609296200341,2.0,0.03398543701517698,8.486579963599217e-05
0.5,0.5,2Hz,Semantic proxy,Evoked,4.6000000000000005,0.1566781458229486,2.0,0.0002811279080257072,0.0017943019848051488
0.5,0.5,2Hz,Semantic proxy,Stimulated,4.6000000000000005,400.61550997157883,2.0,0.038498937842429796,9.609946915225787e-05
0.5,0.5,5Hz,Episodic proxy,Control,4.5,525.5824440179748,5.0,1.8991117753477647,0.0036133470532794575
0.5,0.5,5Hz,Episodic proxy,Evoked,4.6000000000000005,0.027898648534750103,5.0,0.0019100737872552792,0.06846474247224278
0.5,0.5,5Hz,Episodic proxy,Stimulated,4.5,525.5391917253176,5.0,1.9108822677251844,0.003636041417675927
0.5,0.5,5Hz,Semantic proxy,Control,4.6000000000000005,400.4609296200341,5.0,6.599664530961192,0.01648017083020582
0.5,0.5,5Hz,Semantic proxy,Evoked,4.7,0.10934258560820126,5.0,0.01560951014048097,0.14275782901653075
0.5,0.5,5Hz,Semantic proxy,Stimulated,4.6000000000000005,400.5074357141758,5.0,6.709837837972025,0.016753341485426343
1.0,1.0,2Hz,Episodic proxy,Control,3.7,490.4789478218767,2.0,0.05054110545956621,0.00010304439300404146
1.0,1.0,2Hz,Episodic proxy,Evoked,10.700000000000001,0.01923621170680604,2.0,2.8269287119971234e-06,0.0001469587024246004
1.0,1.0,2Hz,Episodic proxy,Stimulated,3.7,490.4507107979417,2.0,0.05091644384550295,0.00010381561841895211
1.0,1.0,2Hz,Semantic proxy,Control,3.1,1481.0647266528988,2.0,0.6921045536311239,0.0004673020302058176
1.0,1.0,2Hz,Semantic proxy,Evoked,5.800000000000001,0.026625805873358,2.0,3.686697080978865e-05,0.0013846330505503325
1.0,1.0,2Hz,Semantic proxy,Stimulated,3.1,1481.1346903201347,2.0,0.6895177516743823,0.00046553345632958536
1.0,1.0,5Hz,Episodic proxy,Control,3.7,490.4789478218767,5.0,0.3810526717948197,0.0007768991380506785
1.0,1.0,5Hz,Episodic proxy,Evoked,10.600000000000001,0.020730887045655018,5.0,1.1622435737184134e-05,0.0005606337882015559
1.0,1.0,5Hz,Episodic proxy,Stimulated,3.7,490.45228506494243,5.0,0.38107612617330877,0.000776989195030153
1.0,1.0,5Hz,Semantic proxy,Control,3.1,1481.0647266528988,5.0,4.335698857479257,0.0029274202399496943
1.0,1.0,5Hz,Semantic proxy,Evoked,3.1,0.024827415934275808,5.0,0.0002418510341353927,0.009741289015966504
1.0,1.0,5Hz,Semantic proxy,Stimulated,3.1,1481.1310547053645,5.0,4.330882383564903,0.002924037255046569
