severity,severity_label,probe,network,metric,series,n,mean,median,minimum,maximum,ci95_lower,ci95_upper
0.0,0.0,2Hz,Episodic proxy,Broadband RMS,2Hz · Broadband RMS · Episodic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2Hz,Semantic proxy,Broadband RMS,2Hz · Broadband RMS · Semantic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5Hz,Episodic proxy,Broadband RMS,5Hz · Broadband RMS · Episodic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5Hz,Semantic proxy,Broadband RMS,5Hz · Broadband RMS · Semantic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,2Hz,Episodic proxy,Broadband RMS,2Hz · Broadband RMS · Episodic proxy,20,8.466050754771617,8.701960211991807,5.43616633138155,10.308078210032615,7.91424810488389,9.017853404659343
0.5,0.5,2Hz,Semantic proxy,Broadband RMS,2Hz · Broadband RMS · Semantic proxy,20,10.066119716080134,10.172405530260274,6.143982678699328,11.899826680638562,9.365620558500915,10.766618873659354
0.5,0.5,5Hz,Episodic proxy,Broadband RMS,5Hz · Broadband RMS · Episodic proxy,20,7.8195643504426275,7.853558892859921,5.150394843159378,9.976790522814852,7.265661157474392,8.373467543410863
0.5,0.5,5Hz,Semantic proxy,Broadband RMS,5Hz · Broadband RMS · Semantic proxy,20,9.388806990017306,9.538931800170277,5.892055001379948,11.596094500081664,8.71211466146657,10.065499318568042
1.0,1.0,2Hz,Episodic proxy,Broadband RMS,2Hz · Broadband RMS · Episodic proxy,20,7.764499157418418,7.828075751451853,6.912025304222042,8.89995876554837,7.520433552460633,8.008564762376201
1.0,1.0,2Hz,Semantic proxy,Broadband RMS,2Hz · Broadband RMS · Semantic proxy,20,9.997671831934088,9.925655819745511,9.853108243356543,10.355029883677219,9.932783536710213,10.062560127157964
1.0,1.0,5Hz,Episodic proxy,Broadband RMS,5Hz · Broadband RMS · Episodic proxy,20,6.952541996289186,6.844649805644327,6.055216089371441,8.867389428502298,6.633873619257733,7.27121037332064
1.0,1.0,5Hz,Semantic proxy,Broadband RMS,5Hz · Broadband RMS · Semantic proxy,20,9.124984040984474,9.034807028884561,8.886688900867457,9.813488315122408,9.017300015046715,9.232668066922233
0.0,0.0,2Hz,Episodic proxy,Frequency locked,2Hz · Frequency locked · Episodic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2Hz,Semantic proxy,Frequency locked,2Hz · Frequency locked · Semantic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5Hz,Episodic proxy,Frequency locked,5Hz · Frequency locked · Episodic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5Hz,Semantic proxy,Frequency locked,5Hz · Frequency locked · Semantic proxy,20,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,2Hz,Episodic proxy,Frequency locked,2Hz · Frequency locked · Episodic proxy,20,2.3697846856658,2.128691278509513,0.8456982262739664,4.3365979367805325,1.8090663186561589,2.9305030526754408
0.5,0.5,2Hz,Semantic proxy,Frequency locked,2Hz · Frequency locked · Semantic proxy,20,3.539793299388324,3.3477217567705284,1.0497451524167336,6.127013559089686,2.7240981293434228,4.355488469433225
0.5,0.5,5Hz,Episodic proxy,Frequency locked,5Hz · Frequency locked · Episodic proxy,20,3.5418833720821645,3.9607486653062085,1.2606122378275524,5.979186691983426,2.879289277133563,4.204477467030766
0.5,0.5,5Hz,Semantic proxy,Frequency locked,5Hz · Frequency locked · Semantic proxy,20,4.933328974108889,5.3028379276838695,1.8167019101807158,6.816523490111382,4.186648482256088,5.68000946596169
1.0,1.0,2Hz,Episodic proxy,Frequency locked,2Hz · Frequency locked · Episodic proxy,20,2.3282191179734513,2.318645622106608,2.0550298003143572,2.705927860191042,2.2577432313412324,2.39869500460567
1.0,1.0,2Hz,Semantic proxy,Frequency locked,2Hz · Frequency locked · Semantic proxy,20,5.983539390609401,5.974280411031163,5.862162439429714,6.113732662689066,5.9544316956911105,6.012647085527692
1.0,1.0,5Hz,Episodic proxy,Frequency locked,5Hz · Frequency locked · Episodic proxy,20,1.8473755968564247,1.7957265086626513,1.231750516908719,2.6039634045618802,1.6765553455028623,2.018195848209987
1.0,1.0,5Hz,Semantic proxy,Frequency locked,5Hz · Frequency locked · Semantic proxy,20,5.466437620028844,5.425140853531477,5.2321573932351395,6.05692058820752,5.386218492804877,5.546656747252811
