scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,pair,semantic_network,episodic_network,outcome,unit,semantic_value,episodic_value,semantic_minus_episodic_interaction
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.461698160586193,4.680873714529521,0.7808244460566724
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,23,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.371207572501622,5.753599633252513,0.6176079392491092
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,37,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.101663582921888,4.506936620082677,0.5947269628392107
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,53,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.042358139196421,5.125415754998627,0.9169423841977942
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,71,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.430192441613501,4.7644706704824396,0.6657217711310617
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,89,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.582347945314652,4.9191111043168245,0.6632368409978273
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,107,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.241576080315911,4.631106111286023,0.6104699690298876
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,127,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.943773074863773,5.271166429297328,0.6726066455664448
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,149,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.181001082353939,4.6025262690577495,0.5784748132961894
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,173,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.280266422652933,5.6354580369382425,0.6448083857146907
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,197,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.0739421479303335,5.663826002594464,0.41011614533586993
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,223,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.718883656821349,6.947062621483243,0.7718210353381059
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,251,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.534787604747459,4.90589365009476,0.6288939546526988
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,281,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.1670026050545,5.45015820860526,0.7168443964492397
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,313,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.800486279901266,8.198411742289853,0.6020745376114132
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,347,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.163352896892464,7.55916215083897,0.6041907460534937
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,383,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,5.5967376969462235,4.994531299670275,0.6022063972759488
local_dynamics_counterfactual,expanded_targets_local_fixed,High AD-like perturbation with A1 and expanded target local dynamics held at baseline,1.0,421,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.34049975798579,6.501280336603612,0.839219421382178
