scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,pair,semantic_network,episodic_network,outcome,unit,semantic_value,episodic_value,semantic_minus_episodic_interaction
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,23,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,37,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,53,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,71,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,89,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,107,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,127,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,149,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,173,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,197,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,223,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,251,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,281,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,313,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,347,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,383,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,421,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,461,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,Baseline,0.0,503,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
main_full_field,full_field,High AD-like perturbation,1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.929104476392096,6.980263651295736,2.94884082509636
main_full_field,full_field,High AD-like perturbation,1.0,23,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.913721372979296,7.478680118715517,2.435041254263779
main_full_field,full_field,High AD-like perturbation,1.0,37,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.90587922406425,8.102809549369486,1.8030696746947648
main_full_field,full_field,High AD-like perturbation,1.0,53,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.922207163098738,7.984928396540006,1.937278766558732
main_full_field,full_field,High AD-like perturbation,1.0,71,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.981804868499887,8.454998405049198,1.52680646345069
main_full_field,full_field,High AD-like perturbation,1.0,89,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.87699143155621,7.305034952867435,2.571956478688775
main_full_field,full_field,High AD-like perturbation,1.0,107,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.152554542137485,7.813985826780192,2.338568715357294
main_full_field,full_field,High AD-like perturbation,1.0,127,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.225277201864024,8.327954148659462,1.8973230532045626
