set_id,draw_order,semantic_control_indices,episodic_control_indices,semantic_control_labels,episodic_control_labels,mean_standardized_match_distance
0,semantic_first,39;237;157;255;84;350;11;325;118;195;225;90;98,108;316;5;319;146;342;15;332;113;269;175;207;128;308;41;235;233;358;189,L_24dd;R_33pr;L_V3CD;R_47l;L_a9-46v;R_p47r;L_55b;R_IP0;L_PreS;R_V7;R_7PL;L_11l;L_43,L_MI;R_PHT;L_V4;R_TPOJ2;L_PFop;R_VVC;L_V7;R_VMV1;L_FOP3;R_10pp;L_STSva;R_STV;L_STSdp;R_STSdp;L_7AL;R_6v;R_6d;R_a32pr;R_FEF,0.9296328538621526
1,episodic_first,105;263;79;350;121;186;11;256;154;251;293;0;101,45;200;76;232;114;357;143;355;15;317;175;207;30;253;41;346;205;358;229,L_PoI2;R_46;L_IFJp;R_p47r;L_PeEc;R_V8;L_55b;R_a47r;L_PHA2;R_10d;R_FOP3;L_V1;L_OP2-3,L_7PL;R_LO2;L_a47r;R_3a;L_FOP2;R_PI;L_IP2;R_STSva;L_V7;R_PH;L_STSva;R_STV;L_POS1;R_44;L_7AL;R_PoI1;R_SFL;R_a32pr;R_MIP,0.9604141372528245
2,semantic_first,28;257;79;268;20;255;84;355;10;334;273;99;101,9;219;16;319;24;326;49;251;157;232;109;225;50;295;44;285;217;254;252,L_7Pm;R_6r;L_IFJp;R_a10p;L_LO2;R_47l;L_a9-46v;R_STSva;L_PEF;R_PHA2;R_47s;L_OP4;L_OP2-3,L_FEF;R_24dd;L_IPS1;R_TPOJ2;L_PSL;R_PFop;L_MIP;R_10d;L_V3CD;R_3a;L_Pir;R_7PL;L_1;R_PFt;L_7Am;R_PoI2;R_23c;R_45;R_8C,0.9441715195072713
3,episodic_first,96;265;125;197;154;359;61;210;93;300;204;11;4,9;219;78;207;151;218;49;266;94;319;15;228;46;217;50;285;184;181;227,L_i6-8;R_9-46d;L_PHA1;R_FFC;L_PHA2;R_p24;L_d32;R_POS1;L_47s;R_ProS;R_PSL;L_55b;L_V3,L_FEF;R_24dd;L_IFJa;R_STV;L_V6A;R_5L;L_MIP;R_9a;L_LIPd;R_TPOJ2;L_V7;R_VIP;L_7PC;R_23c;L_1;R_PoI2;R_V3;R_MST;R_LIPv,0.956693452216264
4,semantic_first,3;256;157;258;93;305;40;321;22;344;250;61;156,37;287;5;323;24;198;15;228;108;296;28;207;53;233;128;187;355;279;210,L_V2;R_a47r;L_V3CD;R_IFJa;L_47s;R_PHA1;L_24dv;R_DVT;L_MT;R_s32;R_9p;L_d32;L_FST,L_23c;R_FOP4;L_V4;R_IP2;L_PSL;R_V3B;L_V7;R_VIP;L_MI;R_AIP;L_7Pm;R_STV;L_6d;R_6d;L_STSdp;R_4;R_STSva;R_OP4;R_POS1,0.9277252166597523
5,episodic_first,17;252;35;298;82;320;111;358;121;286;251;88;100,105;268;115;269;27;250;80;344;45;342;138;347;128;221;83;253;218;181;266,L_FFC;R_8C;L_5m;R_PreS;L_p9-46v;R_TPOJ3;L_AAIC;R_a32pr;L_PeEc;R_TA2;R_10d;L_a10p;L_OP1,L_PoI2;R_a10p;L_PFt;R_10pp;L_STV;R_9p;L_IFSp;R_s32;L_7PL;R_VVC;L_TPOJ1;R_Ig;L_STSdp;R_7AL;L_46;R_44;R_5L;R_MST;R_9a,1.0661212807639209
6,semantic_first,52;237;58;197;118;274;11;249;88;334;347;168;74,73;181;53;309;139;207;38;286;97;185;2;227;47;221;49;217;317;268;260,L_3a;R_33pr;L_a24pr;R_FFC;L_PreS;R_LIPd;L_55b;R_8BL;L_a10p;R_PHA2;R_Ig;L_FOP5;L_45,L_44;R_MST;L_6d;R_STSvp;L_TPOJ2;R_STV;L_5L;R_TA2;L_s6-8;R_V4;L_V6;R_LIPv;L_LIPv;R_7AL;L_MIP;R_23c;R_PH;R_a10p;R_IFSp,0.780148824661971
7,episodic_first,72;189;164;305;168;273;96;321;154;342;355;92;78,144;337;5;221;167;331;79;250;48;323;105;325;43;285;66;224;234;350;296,L_8C;R_FEF;L_s32;R_PHA1;L_FOP5;R_47s;L_i6-8;R_DVT;L_PHA2;R_VVC;R_STSva;L_OFC;L_IFJa,L_IP1;R_V3CD;L_V4;R_7AL;L_Ig;R_V6A;L_IFJp;R_9p;L_VIP;R_IP2;L_PoI2;R_IP0;L_6ma;R_PoI2;L_8Av;R_7Am;R_6mp;R_p47r;R_AIP,0.8599859313583155
8,semantic_first,17;291;164;190;82;202;116;184;1;259;250;92;99,138;292;78;300;113;342;15;228;105;232;145;274;25;296;30;346;233;337;263,L_FFC;R_AAIC;L_s32;R_PEF;L_p9-46v;R_MT;L_AIP;R_V3;L_MST;R_IFJp;R_9p;L_OFC;L_OP4,L_TPOJ1;R_FOP1;L_IFJa;R_ProS;L_FOP3;R_VVC;L_V7;R_VIP;L_PoI2;R_3a;L_IP0;R_LIPd;L_SFL;R_AIP;L_POS1;R_PoI1;R_6d;R_V3CD;R_46,0.9060793920569578
9,episodic_first,52;237;125;220;126;272;71;288;154;273;293;1;0,73;182;107;260;169;218;145;326;94;300;109;357;48;296;8;233;278;271;252,L_3a;R_33pr;L_PHA1;R_24dv;L_PHA3;R_OFC;L_10d;R_MI;L_PHA2;R_47s;R_FOP3;L_MST;L_V1,L_44;R_V6;L_FOP4;R_IFSp;L_p10p;R_5L;L_IP0;R_PFop;L_LIPd;R_ProS;L_Pir;R_PI;L_VIP;R_AIP;L_3b;R_6d;R_43;R_13l;R_8C,0.929152574466982
