scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,pair,semantic_network,episodic_network,outcome,unit,semantic_value,episodic_value,semantic_minus_episodic_interaction
parameter_G100,G100,"Baseline, G100",0.0,11,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,23,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,37,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,53,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,71,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"High AD-like perturbation, G100",1.0,11,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,12.68595660914488,10.877486559269542,1.8084700498753374
parameter_G100,G100,"High AD-like perturbation, G100",1.0,23,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,12.512194194827957,10.87516572441871,1.6370284704092466
parameter_G100,G100,"High AD-like perturbation, G100",1.0,37,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,12.314531061716174,10.948797791017805,1.3657332706983691
parameter_G100,G100,"High AD-like perturbation, G100",1.0,53,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,12.193460079153848,10.58993404273783,1.6035260364160173
parameter_G100,G100,"High AD-like perturbation, G100",1.0,71,2Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,12.372222219060756,10.956392758997373,1.4158294600633834
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G30,G30,"Baseline, G30",0.0,23,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G30,G30,"Baseline, G30",0.0,37,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G30,G30,"Baseline, G30",0.0,53,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G30,G30,"Baseline, G30",0.0,71,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G30,G30,"High AD-like perturbation, G30",1.0,11,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.040349871676408,7.802985835024882,2.2373640366515266
parameter_G30,G30,"High AD-like perturbation, G30",1.0,23,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.009872257002327,9.582173869201378,1.4276983878009482
parameter_G30,G30,"High AD-like perturbation, G30",1.0,37,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,12.039954843649285,9.89499534558188,2.144959498067406
parameter_G30,G30,"High AD-like perturbation, G30",1.0,53,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.519485615130474,8.449682236622733,2.069803378507741
parameter_G30,G30,"High AD-like perturbation, G30",1.0,71,2Hz,30.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.945688328174423,7.821658608745945,2.124029719428478
parameter_input_0.01,input_0.01,"Baseline, input_0.01",0.0,11,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.01,input_0.01,"Baseline, input_0.01",0.0,23,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.01,input_0.01,"Baseline, input_0.01",0.0,37,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.01,input_0.01,"Baseline, input_0.01",0.0,53,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.01,input_0.01,"Baseline, input_0.01",0.0,71,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.01,input_0.01,"High AD-like perturbation, input_0.01",1.0,11,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.925163483157476,6.974812324789391,2.9503511583680853
parameter_input_0.01,input_0.01,"High AD-like perturbation, input_0.01",1.0,23,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.901632464063182,7.4675692734213985,2.4340631906417833
parameter_input_0.01,input_0.01,"High AD-like perturbation, input_0.01",1.0,37,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.899108970058643,8.104561486855763,1.79454748320288
parameter_input_0.01,input_0.01,"High AD-like perturbation, input_0.01",1.0,53,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.916878287523991,7.975701587270075,1.9411767002539158
parameter_input_0.01,input_0.01,"High AD-like perturbation, input_0.01",1.0,71,2Hz,60.0,0.01,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.976275242581798,8.437374730948292,1.5389005116335053
parameter_input_0.04,input_0.04,"Baseline, input_0.04",0.0,11,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.04,input_0.04,"Baseline, input_0.04",0.0,23,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.04,input_0.04,"Baseline, input_0.04",0.0,37,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.04,input_0.04,"Baseline, input_0.04",0.0,53,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.04,input_0.04,"Baseline, input_0.04",0.0,71,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_input_0.04,input_0.04,"High AD-like perturbation, input_0.04",1.0,11,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.937291751307805,6.992726691500936,2.9445650598068696
parameter_input_0.04,input_0.04,"High AD-like perturbation, input_0.04",1.0,23,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.937154074982997,7.493704332465186,2.443449742517811
parameter_input_0.04,input_0.04,"High AD-like perturbation, input_0.04",1.0,37,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.920551937848138,8.10285458513006,1.8176973527180778
parameter_input_0.04,input_0.04,"High AD-like perturbation, input_0.04",1.0,53,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.933490013725736,8.004594898422438,1.9288951153032983
parameter_input_0.04,input_0.04,"High AD-like perturbation, input_0.04",1.0,71,2Hz,60.0,0.04,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.988238030439815,8.467404174010781,1.520833856429034
parameter_G100,G100,"Baseline, G100",0.0,11,5Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,23,5Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,37,5Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,53,5Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"Baseline, G100",0.0,71,5Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,0.0,0.0,0.0
parameter_G100,G100,"High AD-like perturbation, G100",1.0,11,5Hz,100.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.711805899827842,10.496616220647565,1.215189679180277
