condition,severity,seed,probe,network,target_response_coverage,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,evoked_fc_split_abs_z
Baseline,0.0,11,2Hz,episodic_expanded,1.0,0.0003048914659249467,False,-8.04426536266334e-05,0.0005528512578498327,31.58269083285247,0.9999996550029906,1.0,0.003143060990934643
Baseline,0.0,11,2Hz,semantic_expanded,1.0,0.0009038994020175013,False,-0.00023226520471650858,0.00027962698420695654,31.59531272439018,0.9999985214881282,1.0,0.013629165312071478
Baseline,0.0,23,2Hz,episodic_expanded,1.0,0.00030360463378987997,False,-8.01730742224116e-05,0.0005528512578492419,31.582729805994788,0.9999996563751745,1.0,0.003123973458306395
Baseline,0.0,23,2Hz,semantic_expanded,1.0,0.0009001447380844708,False,-0.00023130072439849771,0.0002796269842072993,31.595261895011596,0.9999985185951904,1.0,0.013534080785436498
Baseline,0.0,37,2Hz,episodic_expanded,1.0,0.000305137604505059,False,-8.050154418794976e-05,0.0005528512578500497,31.582697337447637,0.999999653274326,1.0,0.003137087086042989
Baseline,0.0,37,2Hz,semantic_expanded,1.0,0.0009042606389010478,False,-0.00023232249143507745,0.0002796269842072993,31.595345096846117,0.9999985077779416,1.0,0.013614621580311681
Baseline,0.0,53,2Hz,episodic_expanded,1.0,0.0003065722106108434,False,-8.100641830504074e-05,0.0005528512578495611,31.582855992685083,0.9999996442814829,1.0,0.003186899543561772
Baseline,0.0,53,2Hz,semantic_expanded,1.0,0.0009103858676469613,False,-0.00023412416945385318,0.0002796269842070028,31.59533282069122,0.9999984941233986,1.0,0.01376803224418488
Baseline,0.0,71,2Hz,episodic_expanded,1.0,0.00030707475282330376,False,-8.099422103704513e-05,0.0005528512578497383,31.58272935131137,0.9999996528408076,1.0,0.0031562566819687277
Baseline,0.0,71,2Hz,semantic_expanded,1.0,0.0009086010595109178,False,-0.00023346624894351466,0.0002796269842072993,31.595279630931966,0.9999985031846607,1.0,0.013684804424989316
Baseline,0.0,89,2Hz,episodic_expanded,1.0,0.00030492053151668416,False,-8.060060965826566e-05,0.0005528512578499519,31.582720813986306,0.9999996489887041,1.0,0.003159388381926753
