region_index,region_label,hemisphere,surrogate_amyloid,baseline_b,intermediate_b,high_b,b_reduction,weighted_structural_strength,structural_feature_basis,direct_connectivity_to_left_a1,direct_connectivity_to_right_a1,bilateral_a1_affinity,semantic_expanded_membership,episodic_expanded_membership,semantic_anatomical_core_membership,episodic_anatomical_core_membership,anatomical_core_membership,semantic_platel_peak_membership,episodic_platel_peak_membership,platel_peak_membership,raw_trace_region_membership
0,L_V1,L,3.77954543694969,0.07,0.04500044987398713,0.020000899747974255,0.04999910025202575,0.5269579218379199,symmetrized_0.5_times_W_plus_W_transpose,0.001737317494382315,0.00016903149187059294,0.0019063489862529079,False,False,False,False,False,False,False,False,False
1,L_MST,L,2.08646010105208,0.07,0.05513685618451949,0.04027371236903897,0.029726287630961037,0.3331886005542827,symmetrized_0.5_times_W_plus_W_transpose,0.0005557352673720356,0.00033395502425264854,0.0008896902916246841,False,False,False,False,False,False,False,False,False
2,L_V6,L,1.42334140465958,0.07,0.0694235843010494,0.0688471686020988,0.001152831397901205,0.3945636310635151,symmetrized_0.5_times_W_plus_W_transpose,0.00149382348186988,0.0005062087064629875,0.002000032188332867,False,False,False,False,False,False,False,False,False
3,L_V2,L,2.00498426987832,0.07,0.05827796941510987,0.04655593883021973,0.023444061169780275,0.48397939482489427,symmetrized_0.5_times_W_plus_W_transpose,0.001429902512523795,0.0002853290345695207,0.0017152315470933157,False,False,False,False,False,False,False,False,False
4,L_V3,L,2.07566895305228,0.07,0.055544252656345265,0.041088505312690524,0.028911494687309483,0.47591088697770856,symmetrized_0.5_times_W_plus_W_transpose,0.001529804933433205,0.0001385302122772575,0.0016683351457104623,False,False,False,False,False,False,False,False,False
5,L_V4,L,1.97333406012664,0.07,0.05949357994981899,0.048987159899637985,0.021012840100362022,0.4402563606097447,symmetrized_0.5_times_W_plus_W_transpose,0.001508277167698995,0.0001881260427086043,0.0016964032104075993,False,False,False,False,False,False,False,False,False
6,L_V8,L,2.41783032279288,0.07,0.04699306866658304,0.023986137333166076,0.04601386266683393,0.2909880497772376,symmetrized_0.5_times_W_plus_W_transpose,0.00041831354514541727,0.0002651447345144972,0.0006834582796599144,False,False,False,False,False,False,False,False,False
7,L_4,L,1.43225387068353,0.07,0.06939149120788576,0.06878298241577152,0.0012170175842284858,0.6689470739282588,symmetrized_0.5_times_W_plus_W_transpose,0.00136658083418495,0.001467981860628415,0.002834562694813365,False,False,False,False,False,False,False,False,False
8,L_3b,L,1.73691050708476,0.07,0.06643514369511586,0.06287028739023172,0.007129712609768288,0.5498767235396308,symmetrized_0.5_times_W_plus_W_transpose,0.00167344000686,0.0012740209363452351,0.002947460943205235,False,False,False,False,False,False,False,False,False
9,L_FEF,L,1.57513294092545,0.07,0.06856862762530583,0.06713725525061164,0.002862744749388371,0.4933747427677384,symmetrized_0.5_times_W_plus_W_transpose,0.00171927059601592,0.0008103281804976785,0.0025295987765135983,False,False,False,False,False,False,False,False,False
