network,analysis_role,evidence_component,label,hemisphere,zero_based_index,interpretation,surrogate_amyloid,baseline_b,high_b,b_reduction
a1_input,stimulus,auditory_input,L_A1,L,23,Bilateral primary auditory cortex.,1.69346996588115,0.07,0.06436977208915355,0.005630227910846455
a1_input,stimulus,auditory_input,R_A1,R,203,Bilateral primary auditory cortex.,1.74349651238196,0.07,0.06261589494113863,0.007384105058861376
semantic_expanded,primary,union,L_9m,L,68,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,1.82739813222784,0.07,0.05869486219408891,0.011305137805911095
semantic_expanded,primary,union,R_9m,R,248,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,1.80756932743866,0.07,0.05973850248474727,0.010261497515252738
semantic_expanded,primary,union,L_10r,L,64,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,1.82049541099342,0.07,0.05906648569219959,0.010933514307800415
semantic_expanded,primary,union,R_10r,R,244,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.12971515257329,0.07,0.03712636263126799,0.032873637368732014
semantic_expanded,primary,union,L_10v,L,87,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.17808337913819,0.07,0.033911717037648254,0.03608828296235175
semantic_expanded,primary,union,R_10v,R,267,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.11068058027602,0.07,0.03848475015718225,0.031515249842817755
semantic_expanded,primary,union,L_8BM,L,62,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,1.9612752711703,0.07,0.049896029054942836,0.02010397094505717
semantic_expanded,primary,union,R_8BM,R,242,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.02209899267582,0.07,0.04522579784362893,0.024774202156371078
