scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,pair,semantic_network,episodic_network,outcome,unit,semantic_value,episodic_value,semantic_minus_episodic_interaction
spatial_shuffle_01,shuffle_01,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.794211627838965,7.48977808885803,1.3044335389809358
spatial_shuffle_02,shuffle_02,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.863781283857917,7.582487906503559,0.2812933773543582
spatial_shuffle_03,shuffle_03,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.58180211297918,7.969608684384244,0.6121934285949351
spatial_shuffle_04,shuffle_04,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.174691198491347,7.5158659641846235,1.6588252343067236
spatial_shuffle_05,shuffle_05,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.662115044282134,7.928461735336794,0.7336533089453399
spatial_shuffle_06,shuffle_06,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.415496302197212,5.282477885588988,1.1330184166082242
spatial_shuffle_07,shuffle_07,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.387773407079631,9.1819505550411,0.20582285203853168
spatial_shuffle_08,shuffle_08,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.02771604573696,7.843794929226974,1.1839211165099863
spatial_shuffle_09,shuffle_09,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.642026950883068,8.749049294037672,-0.10702234315460402
spatial_shuffle_10,shuffle_10,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.846983522415288,9.115741201419015,-0.26875767900372693
spatial_shuffle_11,shuffle_11,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.400205198868898,6.212104904849218,1.18810029401968
spatial_shuffle_12,shuffle_12,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.638541631209197,8.262439208992873,-0.6238975777836764
spatial_shuffle_13,shuffle_13,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,14.105356713837294,11.354688122084717,2.750668591752577
spatial_shuffle_14,shuffle_14,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,7.541791990800148,6.073146211976958,1.4686457788231895
spatial_shuffle_15,shuffle_15,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.416073830269335,7.739045093335814,0.6770287369335213
spatial_shuffle_16,shuffle_16,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.114690274925424,8.382826117789755,1.7318641571356697
spatial_shuffle_17,shuffle_17,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.526969259002955,8.391401000650625,2.1355682583523308
spatial_shuffle_18,shuffle_18,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.625744129322246,7.220098563868798,1.4056455654534483
spatial_shuffle_19,shuffle_19,"High AD-like perturbation, spatially shuffled",1.0,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.334428950654946,12.009226029622333,-0.6747970789673872
